,text,sen
0,crypto market trading like hand deck effort keep tether breaking peg curious price start abandon ship every person look totally broken mother bitcoin waterfall close,-1
1,looking indicator might right according fibonacci chart extension blowoff top k range year bear market,-1
2,breaking yearold man owns mostly bank stonks say hate btc,-1
3,bitcoin funding rate stay negative btc price spike k bitcoin btc crypto,-1
4,damage done though got rekt big hill climb back hodl,-1
5,cryptos would remain bear market territory bitcoin ethereum,-1
6,brentlindeque bitcoin rendered government nonessential service,-1
7,thecryptolark ethereum flip bitcoin lost fiat still winner nothing change world,-1
8,monsterscoins everything except bullish right still confidence alt sys eth cvp syscoin optimistic l nearinstant fulfillment bitcoin pow background multiquorum finality syscoin,-1
9,bitcoin fear greed terra luna classic scam via youtube,-1
10,sad day next paycheck,-1
11,forex market year solidity million budget mention use datacenters lame cryptomarkets supported amazoncloudstyle system delegate delegate security end get buttfucked,-1
12,dude one care alt could get banned,-1
13,project horrible cause andreas see,-1
14,k dollar got kidding,-1
15,cryptohammie volume fucking shit bitcoin btc going zero tomorrow,-1
16,everyone getting scam got ta dump gain unsuspecting public bitcoin,-1
17,ripple seems left red zone bitcoin please wake,-1
18,think pretty obvious ethereum lifting crypto market btc bullish ethereum,-1
19,bitcoin people literally angry see picture btc bnb beside one another someone please slap ever become deranged,-1
20,another random dump lol,-1
21,fossgregfoss dylanleclair susiebdds dare btc,-1
22,overall every market performing well looking current inflation war covid situation highly unlikely see btc rise see pump see dump cryptotrading,-1
23,bitcoin mining operation finger lake spark local concern,-1
24,ladyofcrypto bitcoin b cheap coming day week minute,-1
25,worrisome talk shortly btc future perpetual funding rate exchange bitcoin,-1
26,find really odd people keep saying want regulation legitimise area allow institutional money come report regulation market seems get scared,-1
27,guess bitcoin going btc,-1
28,twitter specific coin related telegram group might infested scammer well probably better find better sub pls let know,-1
29,economist say bitcoin nt big fail warns btc establish government allow,-1
30,let play sad song world smallest violin,-1
31,hey mr whale please pump bitcoin position underwater,-1
32,analyst accurately called massive bitcoin crash bad news crypto trader new target,-1
33,sound even bad lol something worse gambling,-1
34,crypto investor cryptocrash bitcoin cryptocurrencynews,-1
35,czbinance child trafficking world pizza symbol podephiles sex kid interesting correlation btc stolen use human trafficking among thing,-1
36,anyone else hovering finger instant sell button mean unreal violent pullback going,-1
37,see nt wanted buy,-1
38,buy high sell low lol,-1
39,people forcing bitcoin holding supposed lose money cry bitcoin bitcoin,-1
40,got want someone else bag holder shitcoin bail poor choice grow btc crypto celsiusnetwork,-1
41,whine call want simply type opinion think bitcoin continue go value thats opinion call whine nt care bearish bitcoin deal,-1
42,well welll bear btc bnb eth,-1
43,day bitcoin getting little battered amp downer interesting coinbase moment amp jumped number popularity also buy sell ratio way almost say amp accumulation going go,-1
44,news block bitcoin fall btc btc bitcoin bitcoin,-1
45,last line support guy bitcoin luna btc,-1
46,bitcoin broke k support looking good,-1
47,bitcoin may last much longer academic warns,-1
48,low confidence boomer charge understand bitcoin,-1
49,joshbtchodl ftxofficial unless vlp brings financial benefit see reason continue add btc usdc still seems reign supreme investvoyager,-1
50,ryangarzone ukharvey orlandobravotb warrenbuffett madoff defrauded almos billion compared bitcoin market cap trillion trillion billion bitcoin pretty close right,-1
51,stupid enough invest something nt backed anything,-1
52,thecryptolark see dead btc,-1
53,bitcoin need defibrillator flatline,-1
54,usd btc stimulus given el salvador citizen worth usd,-1
55,fact mining btc cost money mean value btc inherently tied hated financial asset fiat money cryptonites imagine world energy company accept btc payment energy production mine btc,-1
56,new york clamp bitcoin mining newly passed bill,-1
57,kevin leary ftx collapse turning point industry crypto bottom bitcoin crypto,-1
58,bitcoin manipulation finest weekend nothing like dump pump span couple hour,-1
59,like lamborghini said accept bitcoin nobody want fucking tesla,-1
60,stupid people comment irony,-1
61,nope dumb experienced werent dumb money btc wouldnt gone high remain low ath dumb money return,-1
62,seeing consolidation bitcoin hoping last week ethereum look even better technically bitcoin ask,-1
63,probably nt see xxx bitcoin ever,-1
64,u dropped ball bitcoin crypto regulation sec commissioner,-1
65,call dump yall nt know bitcoin,-1
66,great get get stuck shithole yea kinda agree feel bad seeing people still make account dog shit website,-1
67,shaky day crypto market right btc binance ftx,-1
68,bitcoin bug kind compulsive urge come new statement like every month first gon na revolutionize crossborder payment awesome going unite gop dems lost sir,-1
69,btc monthly look even bearish last tweet april look like sell rise market post fed recovery rally could shortlived unless powell shift focus back growth inflation,-1
70,make think asset overvalued last two year,-1
71,coinbase pro allow withdraw bc address withdrawal failing,-1
72,edmonton international student warns others losing k phone scammer cbc news bitcoin btc,-1
73,btc also coming support level one nt hold towards k possible,-1
74,bitcoin k btc bitcoin,-1
75,even true say crypto bitcoin shitcoins involved probably implemented horribly user allowing withdraw wallet something much looking forward wave newbie question similar bought bitcoin robinhood ca nt withdraw,-1
76,full fuds internet btc bitcoin btc want manipulate market thing,-1
77,feel going brake support btc chart sooner weekly picture say lot large investor cooking something really big b e c r e f u l,-1
78,nope drop k k,-1
79,probably get asked lot worried tether talk long time btc price artificially propped usdt seems like usdt collapse could really hurt public perception btc,-1
80,btcarchive scammed someone giving btc aud,-1
81,bitcoin dogecoin ethereum crashing,-1
82,grayscale btc etf get approved july th cleansing btc defi ponzis hand,-1
83,gradybooch bitcoin nt belong exchange exact reason twitter genius know everyting abt ting,-1
84,markmoss coin federally regulated go everything bitcoin created many idiot making crypto worse,-1
85,glad learn crypto back ca nt imagine bitcoin still k,-1
86,cryptengineer heard strikex bitcoin dipping strikex constantly rising big thing happening great project strikexofficial,-1
87,bitcoin holding firm crypto june made way thru cheerleader salesman find meme trader gambler finally find serious guy making sense say concerned fed printing money c mon really headache,-1
88,sold everything moving bigger better thing bitcoin going link going,-1
89,metaverse blockchain gaming altcoins rally bitcoin look support blockchain altcoin bitcoin via,-1
90,rip short taken yesterday according bitfinex position closed nearly edit read million bitcoin short liquidated,-1
91,well something bot somebody whale gave btc nice shot arse look good flatline last couple day grab moon boot justincase,-1
92,good morning everyone except bitcoin bear hope terrible day,-1
93,european parliament voted introduction cryptocurrency market law mica restricts use cryptocurrency socalled pow mechanism btc,-1
94,china fuck bitcoin fuck,-1
95,yes definitely compare bitcoin v gold term volatile,-1
96,punk btc solves everything go zero,-1
97,according x people asked held bitcoin point life yet see convincing study report bitcoin adoption country whole world,-1
98,goingparabolic trillion scam others company asset bitcoin smoke air nothing,-1
99,kucoincom btc greatest scam money burning th century never worth btc ponzi,-1
100,always leaf little amount anything like buy coin minimum amount purchase annoying,-1
101,typical rbitcoin user used grandma birthday money buy btc cry,-1
102,bitcoin btc back earth nice easy landing bullish hard work vanished hard work thats call bear market,-1
103,stackthefuture agreed diet bitcoin totally unrelated another toxic part bitcoin community,-1
104,hhh balance stuck cryptocurrency btc dawn,-1
105,impossible graft new branch speculative currency onto dying tree capitalism bitcoin,-1
106,important understand happening bitcoin right manipulated momentum ignition algorithm btc example definition source trading bitcoin right dangerous bc manipulated,-1
107,btc guru talking giant head shoulder weekly tf scenario happens see k even lower bitcoin,-1
108,ca nt pay bitcoin,-1
109,bitcoin mempool clear first time since november bubble sign current situation may indicate upcoming market crash,-1
110,bitcoin lost footing gold silver ready ath chartwise,-1
111,elon musk bitcoin bet cost tesla million bitcoin btc,-1
112,start selling btc bitcoin bear market stay least year untill good luck,-1
113,look scam surrounding cryptocurrency limit risk trade crypto bitcoin crypto fraud,-1
114,lot uneducated day trader,-1
115,tmobile breach includes name phone number physical address also sensitive data like ssn driver license information imei number info sold bitcoin tmus,-1
116,damn miss bull market bitcoin crypto,-1
117,forget bitcoin altcoins moving analyze volumeprice movin,-1
118,bitcoin btc price fall sharply brief rebound k level new alltime high btc balance specific bitcoin address category revealed intotheblock terra dumped bitcoin market early may,-1
119,never transfer money country credit card payment instant fee major institution may find compelling feature bitcoin major institution wo nt dumping million billion asset class chart like btc save couple day dollar transaction living fine decade current paradigm btc solves problem never heard major concern best use case crypto drug dealer criminal perfectly reasonable use case sure btc find floor around know thanks market participant hmm,-1
120,one michael saylor pomp joe lubein claytonhinman buying movie ticket btc eth,-1
121,never job anything useful good world try impress family friend money withdrawal get invited party everyone hate lazy knucklehead,-1
122,talking network network always go underground agree way stop talking monetary value btc currently exchanging fiat btc btc still used exchange tangible product like example stated stopping u gov officially outright declare btc illegal currency imposing hefty finesjail term business big small caught transacting btc still think business would risk accepting slowly surely fade away monetary value exchange physical good btc another example walk store kilo drugscontrolled substance exchange van soda kilo definitely much much much monetary value illegal business accept yes business would still take wo nt layman term future btc actually super fancy technologically perfect hyped digital ingame currency value tagged something live monetarywordly value spent year exchanging dcaing fiat ca nt actually use regulation officially imposed global scale get trying say,-1
123,thing last year bullshit bitcoin magazine trying create big tent conference fucking affinity scammer,-1
124,bitcoin fall k trader say bull need hail mary avoid bear market bitcoin via,-1
125,btc bitcoin fun watch fall close many long term investor around,-1
126,exactly even need government central bank hold bitcoin longer faster get buried irrelevant financial system,-1
127,jfcargo bryanbsolstin right bitcoin,-1
128,bitcoin getting bashed bitcoin bearmarket,-1
129,startonio czbinance binance bitcoin dipping deeper old resistance area effort flip new support area weekly retest progress ethbtc super underrated bitcoiner taking tweet tip seriously superb,-1
